Timestamp: 20.2504s. Il peer: 1.1.5.193 Unchoked: 1.1.7.141. Upload: 105.6bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 20.2761s. Il peer: 1.1.5.233 Unchoked: 1.1.8.73. Upload: 105.6bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 20.3014s. Il peer: 1.1.5.233 Unchoked: 1.1.8.157. Upload: 105.6bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 21.0295s. Il peer: 1.1.8.73 Unchoked: 1.1.6.1. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 21.1362s. Il peer: 1.1.8.157 Unchoked: 1.1.6.49. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 21.5444s. Il peer: 1.1.6.1 Unchoked: 1.1.8.37. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 21.5444s. Il peer: 1.1.6.1 Unchoked: 1.1.7.177. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 21.5444s. Il peer: 1.1.6.1 Unchoked: 1.1.7.101. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 21.5444s. Il peer: 1.1.6.1 Unchoked: 1.1.8.129. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 21.8057s. Il peer: 1.1.6.49 Unchoked: 1.1.8.165. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 21.8159s. Il peer: 1.1.6.49 Unchoked: 1.1.7.173. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 21.8258s. Il peer: 1.1.6.49 Unchoked: 1.1.6.185. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 21.8259s. Il peer: 1.1.6.49 Unchoked: 1.1.6.229. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 21.922s. Il peer: 1.1.8.37 Unchoked: 1.1.7.245. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 21.932s. Il peer: 1.1.8.37 Unchoked: 1.1.7.193. Upload: 187.6bps, Download: 107.6bps; optimistically unchoked: 0
